"106283","014","Paderewski","+",,
"106284","014","Ponce","++",,
"106285","014","Poulenc","++",,
"106286","014","Rachmaninov","+",,
"106287","014","Raff",,,
"106288","014","Ravel","++",,
"106289","014","Reger","+",,
"106290","014","Rheinberger",,"?",
"106291","014","RimskyKorsakov","-",,
"106292","014","Rossini","-","?",
"106293","014","Rubinstein",,,
"106294","014","SaintSaëns","-",,
"106295","014","Schmitt","+",,
"106296","014","Schulhoff","++","?",
"106297","014","C Schumann",,,
"106298","014","R Schumann",,,
"106299","014","SCRIABIN","+",,
"106300","014","Smetana",,,
"106301","014","Stanford","+",,
"106302","014","Stravinsky","++","?",
"106303","014","Szymanowski","++",,
"106304","014","Tansman","++",,
"106305","014","Tárrega","+",,
"106306","014","Tchaikovsky",,,
"106307","014","Wagner",,,
"106308","014","Wieniawski",,,
"106309","014","Wolf","+","?",
"106310","015","Beethoven",,,
"106311","015","Chopin",,,
"106312","015","Czerny",,,
"106313","015","Dussek",,,
"106314","015","Field",,,
"106315","015","J Haydn","-",,
"106316","015","Hummel",,,
"106317","015","Meyerbeer",,"?",
"106318","015","I Moscheles",,,
"106319","015","Mozart",,,
"106320","016","Corigliano",,,
"106321","017","Tan",,"?",
"106322","017","Tower",,,
"106323","018","Liszt",,,
"106324","019","none",,,
"106325","020","Adams","++","?",
"106326","020","Alain",,,
"106327","020","Alwyn",,,
"106328","020","Albéniz","-",,
"106329","020","Barber",,,
"106330","020","Bartók",,,
"106331","020","Bax",,,
"106332","020","Beach",,,
"106333","020","Bennett","+",,
"106334","020","Berg",,,
"106335","020","Berio","+",,
"106336","020","Bliss",,,
"106337","020","BLOCH",,,
"106338","020","BOULANGER",,,
"106339","020","Boulez","+",,
"106340","020","Bridge",,,
"106341","020","Britten",,"?",
"106342","020","Cage",,,
"106343","020","Canteloube",,,
"106344","020","Carpenter",,,
"106345","020","Carter",,,
"106346","020","Casella",,,
"106347","020","CastelnuovoTedesco","-",,
"106348","020","Chausson","-",,
"106349","020","Chávez",,,
"106350","020","Cilea",,,
"106351","020","Clarke",,,
"106352","020","Copland",,,
"106353","020","Creston",,,
"106354","020","CRUMB","+",,
"106355","020","Dallapiccola",,,
"106356","020","Delius",,,
"106357","020","Dohnányi",,,
"106358","020","Druckman","+",,
"106359","020","Dukas",,,
"106360","020","Duruflé",,,
"106361","020","Dutilleux",,,
"106362","020","Enescu",,,
"106363","020","Falla",,,
"106364","020","Françaix",,,
"106365","020","Gerhard",,,
"106366","020","Gershwin",,,
"106367","020","Ginastera",,,
"106368","020","Glass","+",,
"106369","020","GRIFFES",,,
"106370","020","Grofé",,,
"106371","020","Guarnieri",,,
"106372","020","Harris",,,
"106373","020","B Herrmann","+",,
"106374","020","Hindemith",,,
"106375","020","Honegger",,,
"106376","020","Howells",,,
"106377","020","Ibert",,,
"106378","020","Ireland",,,
"106379","020","Janácek","-",,
"106380","020","Jolivet",,,
"106381","020","Jongen",,,
"106382","020","KargElert","-",,
"106383","020","KODÁLY",,,
"106384","020","Koechlin",,,
"106385","020","Kokkonen","+",,
"106386","020","B Kolb","+",,
"106387","020","Kraft","+",,
"106388","020","Larsen","++",,
"106389","020","Lehár",,,
"106390","020","Leighton","+",,
"106391","020","Ligeti","+",,
"106392","020","Loeffler","-",,
"106393","020","Lutoslawski",,,
"106394","020","Malipiero",,,
"106395","020","Martin",,,
"106396","020","MARTINU",,,
"106397","020","Mascagni",,,
"106398","020","MESSIAEN",,,
"106399","020","Miaskovsky",,"?",
"106400","020","Milhaud",,,
"106401","020","Mompou",,,
"106402","020","Montsalvatge",,,
"106403","020","Moreno Torróba",,,
"106404","020","Novák",,,
"106405","020","Orff",,,
"106406","020","Pierné",,,
"106407","020","W Pijper",,,
"106408","020","Pizzetti",,,
"106409","020","Ponce",,,
"106410","020","Poulenc",,,
"106411","020","Prokofiev",,,
"106412","020","Puccini","-",,
"106413","020","Rautavaara","+",,
"106414","020","Ravel",,,
"106415","020","Reger",,,
"106416","020","Reich","+",,
"106417","020","Respighi",,,
"106418","020","Revueltas",,,
"106419","020","Rodrigo",,,
"106420","020","Rorem","+",,
"106421","020","ROUSSEL",,,
"106422","020","Rubbra",,,
"106423","020","Ruggles",,,
"106424","020","Satie",,,
"106425","020","Scelsi",,,
"106426","020","Schmitt",,,
"106427","020","Schreker",,,
"106428","020","Schulhoff",,,
"106429","020","Scriabin",,,
"106430","020","Stravinsky",,,
"106431","020","Suk",,,
"106432","020","Szymanowski",,,
"106433","020","Tailleferre",,,
"106434","020","TAKEMITSU","+",,
"106435","020","Tournemire",,,
"106436","020","Tower","+",,
"106437","020","Turina",,,
"106438","020","Varèse",,,
"106439","020","Vierne",,,
"106440","020","VillaLobos","-",,
"106441","020","Walker","+","?",
"106442","020","Webern",,,
"106443","020","Xenakis","+",,
"106444","020","Zemlinsky",,,
"106445","020","Zwilich","+","?",
"106446","020","'New Age' music",,,
"106447","020","jazz",,,
"106448","021","none",,,
"106449","022","Alain",,,
"106450","022","Langlais",,,
"106451","022","Messiaen",,,
"106452","023","none",,,
"106453","024","Albéniz",,,
"106454","024","Berkeley",,,
"106455","024","Boulanger",,,
"106456","024","Bridge",,,
"106457","024","Casella",,,
"106458","024","Chausson",,"?",
"106459","024","Copland",,,
"106460","024","Debussy",,,
"106461","024","Duparc",,,
"106462","024","Duruflé",,,
"106463","024","Dutilleux",,,
"106464","024","Enescu",,,
"106465","024","Gerhard",,"?",
"106466","024","Ginastera",,"?",
"106467","024","Hahn",,,
"106468","024","Honegger",,,
"106469","024","Ibert",,,
"106470","024","Jongen",,,
"106471","024","KOECHLIN",,,
"106472","024","Martin",,,
"106473","024","Milhaud",,,
"106474","024","Mompou",,,
"106475","024","Pierné",,"?",
"106476","024","Pinkham",,"?",
"106477","024","Piston",,,
"106478","024","Poulenc",,,
"106479","024","RAVEL",,,
"106480","024","Rorem",,,
"106481","024","Rutter","+",,
"106482","024","SaintSaëns","-",,
"106483","024","Satie",,,
"106484","024","Schmitt",,,
"106485","024","Tailleferre",,,
"106486","024","Vierne",,,
"106487","025","Leighton",,,
"106488","026","none",,,
"106489","027","JPE Hartmann",,"?",
"106490","028","none",,,
"106491","029","Sibelius",,"?",
"106492","030","BIZET",,,
"106493","030","Chabrier",,,
"106494","030","Chaminade",,,
"106495","030","G Charpentier",,,
"106496","030","Debussy",,,
"106497","030","Duparc",,,
"106498","030","Elgar",,,
"106499","030","Fauré",,,
"106500","030","Flotow","-",,
"106501","030","Lalo",,,
"106502","030","Leoncavallo",,,
"106503","030","MASSENET",,,
"106504","030","Puccini",,,
"106505","030","SaintSaëns","-",,
"106506","030","Smetana",,"?",
"106507","030","Sullivan",,"?",
"106508","030","Tchaikovsky",,,
"106509","030","THOMAS",,,
"106510","031","Sowerby",,,
"106511","032","none",,,
"106512","033","Boulanger",,"?",
"106513","033","Dupré",,,
"106514","033","Vierne",,,
"106515","034","JS Bach",,,
"106516","034","Handel",,"?",
"106517","034","Leclair",,,
"106518","034","Quantz",,,
"106519","034","Vivaldi",,,
"106520","034","Zelenka",,"?",
"106521","035","JS Bach",,,
"106522","036","JS Bach",,,
"106523","037","JS BACH",,,
"106524","037","Biber",,"?",
"106525","037","Böhm",,,
"106526","037","Brahms","+++",,
"106527","037","BRUHNS",,,
"106528","037","Handel",,,
"106529","037","Pachelbel",,"?",
"106530","037","Telemann",,"?",
"106531","038","Albinoni",,,
"106532","038","JS Bach",,,
"106533","038","Boccherini","++",,
"106534","038","Boismortier",,,
"106535","038","Bononcini",,,
"106536","038","Boyce",,,
"106537","038","Caldara",,,
"106538","038","Clérambault",,,
"106539","038","F COUPERIN",,,
"106540","038","Fux",,,
"106541","038","F Gasparini",,,
"106542","038","GEMINIANI",,,
"106543","038","HANDEL",,,
"106544","038","Lalande",,"?",
"106545","038","LECLAIR",,,
"106546","038","Locatelli",,,
"106547","038","Lully","-","?",
"106548","038","Martinu","+++",,
"106549","038","MUFFAT",,,
"106550","038","B Pasquini","-","?",
"106551","038","Pergolesi",,,
"106552","038","Purcell",,,
"106553","038","Sammartini",,,
"106554","038","A Scarlatti",,,
"106555","038","D Scarlatti",,,
"106556","038","Stradella","-",,
"106557","038","Tartini",,,
"106558","038","TELEMANN",,,
"106559","038","Torelli",,,
"106560","038","Vivaldi",,,
"106561","038","Weiss",,,
"106562","039","JS Bach",,,
"106563","039","Brahms","+++",,
"106564","039","Chausson","+++",,
"106565","039","Debussy","+++",,
"106566","039","Fux","-",,
"106567","039","Lalande",,"?",
"106568","039","Leclair",,,
"106569","039","Marais","-",,
"106570","039","Muffat","-",,
"106571","039","Poulenc","+++",,
"106572","039","Rameau",,,
"106573","039","Ravel","+++",,
"106574","039","R Strauss","+++","?",
"106575","039","Telemann",,,
"106576","040","JS Bach","++",,
"106577","040","Blow","+",,
"106578","040","Buxtehude",,,
"106579","040","L Couperin",,,
"106580","040","FROBERGER",,,
"106581","040","Fux","+",,
"106582","040","Locke",,,
"106583","040","Muffat","+",,
